r,theta,mu,nu,residual
4.759999999999999787e+00,1.212654764285660214e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.153169203807470566e+01
4.879999999999999893e+00,1.187522023056941878e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.153133334719841230e+01
4.740000000000000213e+00,1.225221134900019493e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.152821677630574015e+01
4.719999999999999751e+00,1.244070690821558189e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.152683671761020179e+01
4.870000000000000107e+00,1.218937949592839853e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.152567118527133871e+01
4.799999999999999822e+00,1.193805208364121517e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.152027995381812531e+01
4.769999999999999574e+00,1.206371578978480574e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.151938531668377763e+01
4.820000000000000284e+00,1.187522023056941878e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.151848184998417679e+01
4.740000000000000213e+00,1.275486617357456165e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.151731964766603866e+01
4.860000000000000320e+00,1.181238837749762238e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.151610723887335652e+01
4.729999999999999538e+00,1.275486617357456165e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.151459250416778346e+01
4.809999999999999609e+00,1.256637061435917246e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.151387208141603580e+01
4.729999999999999538e+00,1.231504320207198910e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.151292214999828190e+01
4.870000000000000107e+00,1.181238837749762238e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.151113021135182279e+01
4.849999999999999645e+00,1.181238837749762238e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.150973964926015469e+01
4.709999999999999964e+00,1.262920246743096886e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.150900131601745002e+01
4.750000000000000000e+00,1.275486617357456165e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.150859563202697444e+01
4.709999999999999964e+00,1.256637061435917246e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.150579255288395686e+01
7.769999999999999574e+00,2.695486496780042707e+00,5.004999999999999893e+00,1.000000000000000000e+01,3.150330147844225337e+01
7.780000000000000249e+00,2.695486496780042707e+00,5.004999999999999893e+00,1.000000000000000000e+01,3.150273376642183010e+01
4.889999999999999680e+00,1.193805208364121517e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.150228735615151976e+01
4.879999999999999893e+00,1.212654764285660214e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.150053396094954294e+01
4.719999999999999751e+00,1.275486617357456165e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.150040442665649465e+01
4.780000000000000249e+00,1.269203432050276525e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.149918758403762808e+01
4.709999999999999964e+00,1.269203432050276525e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.149850108328426757e+01
4.780000000000000249e+00,1.200088393671300935e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.149739319300157803e+01
7.759999999999999787e+00,2.695486496780042707e+00,5.004999999999999893e+00,1.000000000000000000e+01,3.149691763428576152e+01
7.790000000000000036e+00,2.695486496780042707e+00,5.004999999999999893e+00,1.000000000000000000e+01,3.149520967881368350e+01
4.879999999999999893e+00,1.181238837749762238e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.149482131855648603e+01
4.889999999999999680e+00,1.187522023056941878e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.149379187389413559e+01
4.889999999999999680e+00,1.200088393671300935e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.149318950064915512e+01
4.839999999999999858e+00,1.181238837749762238e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.149202523594721015e+01
4.719999999999999751e+00,1.237787505514378550e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.148891510910382863e+01
4.759999999999999787e+00,1.275486617357456165e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.148844100605607821e+01
