r,theta,mu,nu,residual
1.560000000000000053e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.145479820752078126e+01
1.590000000000000080e+00,5.686282702997526250e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.145474276950895742e+01
1.530000000000000027e+00,5.610884479311370576e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.145418857962821590e+01
1.580000000000000071e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.145059891058155088e+01
1.479999999999999982e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.144781798389524141e+01
1.510000000000000009e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.144704090426816734e+01
1.469999999999999973e+00,5.610884479311370576e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.144668052313191708e+01
1.600000000000000089e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.144623232322224027e+01
1.500000000000000000e+00,5.604601294004191381e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.144573289846677611e+01
1.489999999999999991e+00,5.604601294004191381e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.144450932993626679e+01
1.459999999999999964e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.144439726404139890e+01
1.560000000000000053e+00,5.692565888304705446e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.144426491984763317e+01
1.570000000000000062e+00,5.692565888304705446e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.144355425476531352e+01
1.459999999999999964e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.144234072033974314e+01
1.550000000000000044e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.144219836134903190e+01
1.459999999999999964e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.143687110675131180e+01
1.510000000000000009e+00,5.604601294004191381e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.143675984341686203e+01
1.600000000000000089e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.143611592609308758e+01
1.550000000000000044e+00,5.692565888304705446e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.143547523288014034e+01
1.590000000000000080e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.143351943347051858e+01
1.580000000000000071e+00,5.692565888304705446e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.143336281723196990e+01
1.479999999999999982e+00,5.604601294004191381e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.143306953748617616e+01
1.459999999999999964e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.143078036441656309e+01
1.469999999999999973e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.142575991732021379e+01
1.520000000000000018e+00,5.686282702997526250e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.142399799383752068e+01
1.600000000000000089e+00,5.686282702997526250e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.142104657674362755e+01
1.540000000000000036e+00,5.610884479311370576e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.141999560722144125e+01
1.459999999999999964e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.141969188841273564e+01
1.520000000000000018e+00,5.604601294004191381e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.141761814753248316e+01
1.540000000000000036e+00,5.692565888304705446e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.141717292880361256e+01
1.590000000000000080e+00,5.692565888304705446e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.141371745859639120e+01
1.469999999999999973e+00,5.604601294004191381e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.141140236629070870e+01
1.459999999999999964e+00,5.610884479311370576e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.140980340659110936e+01
1.610000000000000098e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.140760989820405058e+01
1.600000000000000089e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.140627748503173677e+01
1.610000000000000098e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.140569345421769754e+01
1.489999999999999991e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.140519676646861313e+01
1.570000000000000062e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.140099711358528722e+01
1.479999999999999982e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.140001423489204058e+01
1.580000000000000071e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.139912495916134461e+01
1.500000000000000000e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.139901335383182257e+01
1.610000000000000098e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.139837858483587496e+01
1.560000000000000053e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.139316583227206081e+01
1.459999999999999964e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.139279797436567776e+01
1.610000000000000098e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.139270968075963708e+01
1.489999999999999991e+00,5.598318108697011297e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.138976592119363573e+01
1.530000000000000027e+00,5.692565888304705446e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.138935309296574161e+01
1.530000000000000027e+00,5.604601294004191381e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.138834410438909828e+01
1.590000000000000080e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.138740912427429564e+01
1.500000000000000000e+00,5.598318108697011297e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.138585358984601825e+01
1.449999999999999956e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.138562585163171192e+01
1.600000000000000089e+00,5.692565888304705446e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.138465225221775512e+01
1.469999999999999973e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.138360994945556115e+01
1.479999999999999982e+00,5.598318108697011297e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.138343477595947206e+01
1.449999999999999956e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.138297029570371777e+01
1.570000000000000062e+00,5.698849073611884641e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.138239072482035752e+01
1.510000000000000009e+00,5.686282702997526250e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.138132893815547320e+01
1.459999999999999964e+00,5.604601294004191381e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.137950516165639669e+01
1.449999999999999956e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.137885687532596179e+01
1.560000000000000053e+00,5.698849073611884641e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.137870253997107994e+01
1.610000000000000098e+00,5.686282702997526250e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.137793053198449655e+01
